Species,OG,MT,LT,CC
Acer rubrum,x,x,x,x
Acer saccharum,,,x,
Agalinia purpurea,x,,,
Allium canadense,,,,x
Anthemis arvensis,x,,,
Betula nigra,,,,x
Bidens alba,,,,x
Bignonia capreolata,,x,,x
Campsis radicans,,,,x
Carpinus caroliniana,,,x,x
Carya glabra,,x,,x
Carya spp.,,,x,
Carya tomentosa,,,x,
Cornus florida,,,x,x
Desmodium paniculatum,,,,x
Diospyros virginiana,x,,,
Euonymus americanus,,,,x
Eupatorium perforliatum,x,,,
Fagus grandifolia,,x,x,
Fraxinus americana,,,x,
Fraxinus pennsylvanica,,,,x
Geranium carolinianum,x,,,
Gleditsia triacanthos,,x,,
Glycyrrhiza lepidota,,,,x
Hypoxis hirsuta,,,,x
Ilex opaca,,x,x,x
Juniperus verginiana,,,x,
Juniperus virginiana,,,,x
Ligustrum sinense,,,x,
Ligustrum sinese,,,x,
Ligustrum spp.,x,,,
Lindera benzoin,,,,x
Lindera spp.,,,x,
Liquidambar spp.,,,x,
Liquidambar styraciflua,x,x,x,x
Liquidambra styraciflua,,x,,
Liriodendron tulipifera,,,,x
Lonicera japonica,x,x,x,x
Microstegium vimineum,x,x,x,
Morus rubra,,,,x
Narcissus pseudonarcissus,,,,x
Nyssa sylvatica,,,x,x
Oclemena acuminata,,,x,
Oxydendrum arboreum,,,,x
Parthenicuss quinquefolia,,,x,
Parthenocissus quinquefolia,,x,x,x
Parthenocissus quinuefolia,,,x,
Pinus taeda,x,x,x,x
Platanus occidentalis,,,,x
Polygonum hydropiper,x,,,
Polystichum acrostichoides,,x,,x
Prunus serotina,,,,x
Quercus alba,,x,x,x
Quercus marilandica,,,x,
Quercus michauxii,,,,x
Quercus montana,,,x,
Quercus phellos,,x,,
Quercus rubra,,x,x,x
Quercus velutina,,x,,
Rubus alleghensis,x,,,
Rubus occidentalis L.,,x,,
Sassafras spp.,,,x,
Smilax rotundifolia,,,x,x
Smilax spp,,x,,
Solidago spp.,x,,,
Toxicodendron radicans,x,x,x,
Ulmus alata,,x,x,x
Ulmus rubra,x,x,,x
Vine 1,,,,x
Vitis rotundifolia,,,,x
Vitis sp.,,,x,
Vitis vinifera,,x,,
Vitus rotundafolia,,,x,
Vitus spp.,,,x,
Totals,16,23,34,37
H',1.47,2.41,1.42,0.74
